"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG047504"	"F7308_1316"	"8-amino-7-oxononanoate_synthase_"	"Biotin_metabolism_(CVF838)_"	"Francisella_sp._TX077308"
"VFG009207(gi:15827808)"	"mycP5"	"possible_protease_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_leprae_TN"
"VFG007322(gb|NP_231825)"	"flgH"	"flagellar_L-ring_protein_precursor_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG013793(gi:146305809)"	"pilC"	"type_II_secretion_system_protein_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_mendocina_ymp"
"VFG000743(gb|AAC38395)"	"espD"	"EspD_"	"EspD_(VF0180)_"	"Escherichia_coli_O127:H6_str._E2348/69"
"VFG007060(gi:15642720)"	"epsK"	"general_secretion_pathway_protein_K_"	"EPS_type_II_secretion_system_(CVF268)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG016359(gi:118476901)"	"inlA"	"internalin_"	"IlsA_(CVF879)_"	"Bacillus_thuringiensis_str._Al_Hakam"
"VFG037639(gi:126642727)"	"bap"	"hypothetical_protein_"	"Biofilm-associated_protein_(CVF771)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG043112(gi:15802378)"	"fliK"	"flagellar_hook-length_control_protein_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG025642(gi:107023953)"	"flgE"	"flagellar_hook_protein_FlgE_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_AU_1054"
"VFG023670(gi:332161324)"	"flgG"	"flagellar_basal-body_rod_protein_FlgG_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_enterocolitica_subsp._palearctica_105.5R(r)"
"VFG041061(gi:15890644)"	"impE"	"hypothetical_protein_"	"Imp_(SS195)_"	"Agrobacterium_tumefaciens_str._C58"
"VFG044289(gi:197284147)"	"pbtG"	"substrate-binding_protein_"	"Proteobactin_(IA034)_"	"Proteus_mirabilis_HI4320"
"VFG018397(gi:161503676)"	"phoQ"	"hypothetical_protein_"	"PhoPQ_(CVF010)_"	"Salmonella_enterica_subsp._arizonae_serovar_62:z4,z23:--_str._RSK2980"
"VFG043309(gi:126697834)"	"flhB"	"bifunctional_flagellar_biosynthesis_protein_FliR/FlhB_"	"HexNAc_(AI148)_"	"Clostridium_difficile_630"
"VFG041505(gi:292487022)"	"hrcV"	"type_III_secretion_inner_membrane_protein_HrcV_"	"T3SS_(SS004)_"	"Erwinia_amylovora_CFBP1430"
"VFG012242(gi:91213841)"	"papC"	"outer_membrane_usher_protein_PapC_precursor_"	"pyelonephritis-associated_pilus,_Pap_pilus_(AI001)_"	"Escherichia_coli_UTI89"
"VFG043285(gi:126697810)"	"fliC"	"flagellin_subunit_"	"HexNAc_(AI148)_"	"Clostridium_difficile_630"
"VFG010337(gi:126436261)"	"mce7A"	"virulence_factor_Mce_family_protein_"	"Mce7_(CVF342)_"	"Mycobacterium_sp._JLS"
"VFG037933(gi:469820236)"	"ABD1_00540"	"polysaccharide_biosynthesis_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_D1279779"
"VFG048402"	"KOX_13965"	"2,3-dihydroxybenzoate-2,3-dehydrogenase_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG010302(gi:41407951)"	"mce5C"	"hypothetical_protein_"	"Mce5_(CVF340)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG000135(gb|NP_249455)"	"mucB"	"anti-sigma_factor_MucA,_inhibitor_of_alg_gene_expression_"	"Alginate_(VF0091)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG046647"	"FN3523_1290"	"UDP-glucose_4-epimerase_"	"Capsule_(CVF833)_"	"Francisella_cf._tularensis_subsp._novicida_3523"
"VFG009720(gi:120403451)"	"sigA/rpoV"	"RNA_polymerase,_sigma_70_subunit,_RpoD_family_"	"Sigma_A_(CVF325)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG013991(gi:77461061)"	"pilR"	"Two_Component,_Sigma-54_Specific,_Transcriptional_Regulator,_Fis_family_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG015781(gi:170719264)"	"hdtS"	"phospholipid/glycerol_acyltransferase_"	"Acylhomoserine_lactone_synthase_(CVF528)_"	"Pseudomonas_putida_W619"
"VFG048517"	"fepA"	"outer_membrane_receptor_FepA_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG022816(gi:169630604)"	"narK2"	"integral_membrane_nitrite_extrusion_protein_NarK3_"	"Nitrate/nitrite_transporter_(CVF320)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG013393(gi:33152295)"	"lpxA"	"UDP-N-acetylglucosamine_acyltransferase_"	"LOS_(CVF494)_"	"Haemophilus_ducreyi_35000HP"
"VFG013694(gi:68536948)"	"sapD"	"putative_surface-anchored_protein_"	"Surface-anchored_pilus_proteins_(CVF510)_"	"Corynebacterium_jeikeium_K411"
"VFG041016(gi:15596855)"	"hsiC2"	"hypothetical_protein_"	"HSI-2_(SS179)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG004384(gi:56412450)"	"stkF"	"putative_fimbrial_protein_"	"Stk_(CVF029)_"	"Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150"
"VFG012184(gi:18310897)"	"hlyE"	"probable_hemolysin_III_"	"Hemolysin_(CVF417)_"	"Clostridium_perfringens_str._13"
"VFG003843(gi:16760514)"	"sseA"	"putative_pathogenicity_island_protein_"	"TTSS_(SPI-2_encode)(CVF032)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18"
"VFG014058(gi:146305447)"	"pilK"	"Protein-glutamate_O-methyltransferase_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_mendocina_ymp"
"VFG007232(gi:15640795)"	"viuP"	"ferric_vibriobactin_ABC_transporter,_periplasmic_ferric_vibriobactin-binding_protein_"	"Periplasmic_binding_protein-dependent_ABC_transport_systems_(CVF276)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG038787(gb|YP_857341)"	"flgG"	"flagellar_basal_body_rod_protein_FlgG_"	"ND_(AI144)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG039023(gi:222475649)"	"virD4"	"type_IV_secretion_system_component_VirD4_"	"Rvh_T4SS_(CVF797)_"	"Anaplasma_marginale_str._Florida"
"VFG005865(gi:24378821)"	"SMU.322c"	"glucose-1-phosphate_uridylyltransferase_"	"Capsule_(CVF186)_"	"Streptococcus_mutans_UA159"
"VFG016180(gi:28869790)"	"irp1"	"yersiniabactin_polyketide/non-ribosomal_peptide_synthetase_"	"yersiniabactin_(IA005)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG033278(gi:260871037)"	"fimD"	"outer_membrane_usher_protein_FimD_"	"Type_I_fimbriae_(CVF426)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG030404(gi:433628230)"	"fadD13"	"Putative_chain-fatty-acid-CoA_ligase_FadD13_(fatty-acyl-CoA_synthetase"	"ND"	"ND"
"VFG038040(gi:384141333)"	"ABZJ_00087"	"protein_WbjB_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_MDR-ZJ06"
"VFG014310(gi:26991066)"	"flaG"	"flagellin_FlaG,_putative_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG013863(gi:28872243)"	"pilO"	"type_IV_pilus_biogenesis_protein_PilO_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG041839(gi:34498095)"	"cilA"	"invasion_protein_regulator_"	"Cpi-1a_+_Cpi-1_(SPI-1_like)(SS016)_"	"Chromobacterium_violaceum_ATCC_12472"
"VFG013205(gi:170718942)"	"hemN"	"oxygen-independent_coproporphyrinogen_III_oxidase_"	"Heme_biosynthesis_(CVF506)_"	"Haemophilus_somnus_2336"
"VFG045663(gi:384513489)"	"sprE"	"SprE_protein_"	"SprE_(CVF613)_"	"Enterococcus_faecalis_OG1RF"
"VFG038859(gb|YP_001140280)"	"lfiR"	"lateral_flagellar_biosynthetic_protein_LfiR_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG045753(gi:289163706)"	"icmW"	"Intracellular_multiplication_protein_IcmW_"	"Dot/Icm_type_IVB_secretion_system_(CVF351)_"	"Legionella_longbeachae_NSW150"
"VFG027842(gi:507419931)"	"mce5C"	"Mce_family_protein,_Mce5C_"	"Mce5_(CVF340)_"	"Mycobacterium_abscessus_subsp._bolletii_50594"
"VFG009967(gi:15607313)"	"mce1D"	"MCE-FAMILY_PROTEIN_MCE1D_"	"Mce1_(CVF336)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG009719(gi:145224520)"	"sigA/rpoV"	"RNA_polymerase,_sigma_70_subunit,_RpoD_family_"	"Sigma_A_(CVF325)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG023289(gi:333988694)"	"esxD"	"ESAT-6_like_protein_EsxD_"	"ESX-2_(T7SS)(CVF634)_"	"Mycobacterium_sp._JDM601"
"VFG042624(gi:197284174)"	"mrpD"	"fimbrial_chaperone_protein_"	"Proteus-like_(MR/P"	"ND"
"VFG009230(gi:120404141)"	"secA2"	"SecA_DEAD_domain_protein_"	"Accessory_secretion_factor_(CVF299)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG023365(gi:333988928)"	"esxH"	"EsaT-6_like_protein_EsxH_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_sp._JDM601"
"VFG010355(gi:126436259)"	"mce7C"	"virulence_factor_Mce_family_protein_"	"Mce7_(CVF342)_"	"Mycobacterium_sp._JLS"
"VFG010056(gi:119866187)"	"mce2E"	"virulence_factor_Mce_family_protein_"	"Mce2_(CVF337)_"	"Mycobacterium_sp._KMS"
"VFG023612(gi:332160536)"	"yst1F"	"general_secretion_pathway_protein_F_"	"T2SS_(Yst1)(CVF039)_"	"Yersinia_pestis_Z176003"
"VFG041048(gi:15799901)"	"Z0252"	"hypothetical_protein_"	"EHS_(SS185)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG015460(gi:146307349)"	"hcp1"	"protein_of_unknown_function_DUF796_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_mendocina_ymp"
"VFG014698(gi:66043828)"	"motA"	"flagellar_motor_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG014901(gi:104784331)"	"algC"	"phosphomannomutase_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_entomophila_L48"
"VFG001414(gi:15610552)"	"whiB3"	"TRANSCRIPTIONAL_REGULATORY_PROTEIN_WHIB-LIKE_WHIB3_"	"WhiB3_(VF0288)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG008228(gi:15607551)"	"pknG"	"SERINE/THREONINE-PROTEIN_KINASE_PKNG_(PROTEIN_KINASE_G)(STPK_G"	"ND"	"ND"
"VFG002061(gb|NP_248765)"	"pppA"	"Pseudomonas_protein_phosphatase_PppA_"	"HSI-I_(VF0334)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG002008(gb|YP_095806)"	"motB"	"flagellar_motor_rotation_protein_MotB_"	"Flagella_(VF0157)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG008350(gi:15827811)"	"eccCb5"	"possible_SpoIIIE-family_membrane_protein_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_leprae_TN"
"VFG038762(gi:330830289)"	"flrB"	"two_component_system_flagellar_sensor_histidine_kinase_FlrB_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG013130(gi:33152882)"	"hmw1C"	"putative_adhesin_processing_HmwC-like_protein_"	"HMW1_(CVF487)_"	"Haemophilus_ducreyi_35000HP"
"VFG013765(gi:71736628)"	"pilA"	"type_IV_pilin_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._phaseolicola_1448A"
"VFG033339(gi:387607089)"	"fimG"	"fimbrial_protein_"	"Type_I_fimbriae_(CVF426)_"	"Escherichia_coli_O44:H18_042"
"VFG015073(gi:26988382)"	"gacS"	"sensor_histidine_kinase/response_regulator_GacS_"	"GacS/GacA_two-component_system_(CVF529)_"	"Pseudomonas_putida_KT2440"
"VFG016423(gi:118480307)"	"lytR"	"transcription_antiterminator_"	"Polysaccharide_capsule_(CVF567)_"	"Bacillus_thuringiensis_str._Al_Hakam"
"VFG009545(gi:118462251)"	"mbtA"	"2,3-dihydroxybenzoate-AMP_ligase_"	"Mycobactin_(CVF315)_"	"Mycobacterium_avium_104"
"VFG049110"	"KPR_1615"	"hypothetical_protein_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_pneumoniae_subsp._rhinoscleromatis_SB3432"
"VFG041144(gi:206558745)"	"tssJ/bscN"	"putative_type_VI_secretion_system_protein_TssJ_"	"T6SS_(SS193)_"	"Burkholderia_cenocepacia_J2315"
"VFG022702(gi:169629209)"	"mbtF"	"putative_peptide_synthetase_MbtF_"	"Mycobactin_(CVF315)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG017698(gi:145221355)"	"espK"	"conserved_hypothetical_alanine_and_proline_rich_protein_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG043435(gi:42780863)"	"flhF"	"flagellar_biosynthesis_regulator_FlhF_"	"peritrichous_flagella_(AI153)_"	"Bacillus_cereus_ATCC_10987"
"VFG016484(gi:12045310)"	"tuf"	"elongation_factor_Tu_"	"EF-Tu_(CVF587)_"	"Mycoplasma_genitalium_G37"
"VFG014494(gi:104782812)"	"fliL"	"flagellar_protein_FliL_"	"Flagella_(CVF521)_"	"Pseudomonas_entomophila_L48"
"VFG009342(gi:41410089)"	"proC"	"pyrroline-5-carboxylate_reductase_"	"Proline_synthesis_(CVF307)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG009243(gi:118467655)"	"kasB"	"3-oxoacyl-acyl-carrier-protein_synthase_2_"	"FAS-II_(CVF300)_"	"Mycobacterium_avium_104]"
"VFG002163(gb|YP_094491)"	"icmN/dotK"	"Dot/Icm_type_IV_secretion_system_protein_IcmN/DotK_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG043154(gi:28901399)"	"fliR"	"putative_flagellar_biosynthetic_protein_FliR_"	"lateral_flagella_(AI142)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG013755(gi:68536174)"	"dtxR"	"iron-dependent_repressor_DtxR_"	"Diphtheria_toxin_repressor_DtxR_(CVF517)_"	"Corynebacterium_jeikeium_K411"
"VFG015852(gi:15598515)"	"plcN"	"non-hemolytic_phospholipase_C_precursor_"	"Non-hemolytic_phospholipase_C_(CVF541)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG011626(gi:17988319)"	"bvrR"	"Transcriptional_regulatory_protein_BvrR_"	"BvrR-BvrS_(VF0368)_"	"Brucella_melitensis_bv._1_str._16M"
"VFG037938(gi:407930970)"	"M3Q_286"	"bifunctional_UDP-N-acetylglucosamine_pyrophosphorylase/glucosamine-1-phosphate_N-acetyltransferase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_TYTH-1"
"VFG005742(gi:94987985)"	"spyA"	"C3_family_ADP-ribosyltransferase_"	"ADP-ribosyltransferase_SpyA_(CVF169)_"	"Streptococcus_pyogenes_MGAS9429"
"VFG019035(gi:15902950)"	"lmb"	"Lipoprotein_"	"Laminin-binding_protein_(CVF114)_"	"Streptococcus_pneumoniae_R6"
"VFG002380(gb|NP_218385)"	"eccA1"	"ESX-1_type_VII_secretion_system_AAA+_ATPase_EccA1_"	"ESX-1_(VF0315)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG049231"	"KPN_02274"	"hypothetical_protein_"	"T6SS-III_(CVF862)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG009432(gi:118465346)"	"ideR"	"iron-dependent_repressor_IdeR_"	"Iron-dependent_regulator_(CVF314)_"	"Mycobacterium_avium_104"
"VFG001415(gb|NP_218004)"	"lipF"	"Probable_esterase/lipase_LipF_"	"LipF_(VF0307)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG000500(gb|NP_460364)"	"sscA"	"chaperone_for_sseC_"	"SPI-2_encoded_T3SS_(SS021)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2("
"VFG045722(gi:289163733)"	"feoA"	"ferrous_iron_transporter_A_"	"Ferrous_iron_transport_(CVF359)_"	"Legionella_longbeachae_NSW150"
"VFG014808(gi:152984914)"	"algG"	"alginate-c5-mannuronan-epimerase_AlgG_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_aeruginosa_PA7"
"VFG005770(gb|NP_687683)"	"acpC"	"acyl_carrier_protein_AcpC_"	"Beta-hemolysin/cytolysin_(CVF171)_"	"Streptococcus_agalactiae_2603V/R"
"VFG014171(gi:77460471)"	"flgC"	"flagellar_basal_body_rod_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG016030(gi:77458077)"	"pvdE"	"Cyclic_peptide_transporter_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG043009(gi:77408623)"	"SAN_1517"	"sortase_family_protein_"	"PI-2b_pili_(AI137)_"	"Streptococcus_agalactiae_COH1"
"VFG008290(gi:126432668)"	"eccB1"	"protein_of_unknown_function_DUF690_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_sp._JLS"
"VFG013801(gi:26987368)"	"pilD"	"type_IV_pili_prepilin_peptidase_PilD/XcpA_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_putida_KT2440"
"VFG022762(gi:333990171)"	"JDM601_1531"	"acyl_carrier_protein_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JDM601"
"VFG006701(gb|NP_208376)"	"flgG"	"flagellar_basal-body_rod_protein_(flgG"	"ND"	"ND"
"VFG014285(gi:148546714)"	"flgL"	"flagellar_hook-associated_protein_3_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_F1"
"VFG015171(gi:28868587)"	"hrpR"	"type_III_transcriptional_regulator_HrpR_"	"T3SS_(SS003)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG038771(gb|YP_857337)"	"flgK"	"flagellar_hook-associated_protein_FlgK_"	"ND_(AI144)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG010192(gi:145222694)"	"mce3F"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG012100(gi:148381241)"	"groEL"	"60_kDa_chaperonin_GroEL_"	"GroEL_(CVF403)_"	"Clostridium_botulinum_A_str._ATCC_3502"
"VFG002175(gb|AAM75248)"	"cylR1"	"cytolysin_regulator_R1_"	"Cytolysin_(VF0356)_"	"Enterococcus_faecalis_str._MMH594"
"VFG025733(gi:107023945)"	"flgL"	"flagellar_hook-associated_protein_FlgL_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_AU_1054"
"VFG001891(gb|NP_281265)"	"flgE"	"flagellar_hook_protein_FlgE_"	"Flagella_(VF0114)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG035151(gi:222157503)"	"LF82_429"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_O83:H1_str._LF82"
"VFG000347(gb|NP_438870)"	"hgpC"	"hemoglobin-binding_protein_"	"Hgp_(VF0270)_"	"Haemophilus_influenzae_Rd_KW20"
"VFG049240"	"A79E_1968"	"VgrG_protein_"	"T6SS-III_(CVF862)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_1084"
"VFG008873(gi:433650451)"	"ppsB"	"polyketide_synthase_family_protein_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG014731(gi:146307821)"	"motD"	"OmpA/MotB_domain_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_mendocina_ymp"
"VFG018657(gi:157150914)"	"hsa"	"streptococcal_hemagglutinin_"	"serine-rich_repeat_family_(AI415)_"	"Streptococcus_gordonii_str._Challis_substr._CH1"
"VFG037789(gi:384132512)"	"lpxA"	"lpxA_"	"LPS_(CVF774)_"	"Acinetobacter_baumannii_1656-2"
"VFG034837(gi:15800892)"	"espV"	"hypothetical_protein_"	"EspV_(CVF699)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG015373(gi:116053793)"	"PA14_00850"	"putative_permease_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_aeruginosa_UCBPP-PA14"
"VFG021147(gi:224582382)"	"fimC"	"fimbrial_chaperone_protein_"	"Fim_(CVF003)_"	"Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain_RKS4594"
"VFG033455(gi:260869672)"	"espB"	"translocon_EspB_"	"LEE_locus_encoded_TTSS_(CVF431)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG001262(gb|NP_250140)"	"flhB"	"flagellar_biosynthetic_protein_FlhB_"	"Flagella_(VF0273)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG048992"	"KPN_02514"	"putative_acid_phosphatase_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG045480(gi:52840315)"	"ceg2"	"Dot/Icm_type_IV_secretion_system_effector_Ceg2_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG047039(gb|YP_170388.1)"	"wbtL"	"glucose-1-phosphate_thymidylyltransferase_"	"LPS_(VF0542)_"	"Francisella_tularensis_subsp._tularensis_SCHU_S4"
"VFG045664(gi:397699208)"	"EFD32_0629"	"polysaccharide_lyase_family_protein_8_"	"Hyaluronidase_(CVF614)_"	"Enterococcus_faecalis_D32"
"VFG029847(gi:126432848)"	"papA3"	"polyketide_synthase_associated_protein_PapA_"	"GPL_locus_(CVF650)_"	"Mycobacterium_sp._JLS"
"VFG038088(gi:407930980)"	"M3Q_296"	"hypothetical_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_TYTH-1"
"VFG013846(gi:146280948)"	"pilM"	"type_4_fimbrial_biogenesis_protein_PilM_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_stutzeri_A1501"
"VFG005992(gi:116516033)"	"cps2K"	"UDP-glucose_6-dehydrogenase,_putative_"	"Capsule_(CVF186)_"	"Streptococcus_pneumoniae_D39"
"VFG001399(gi:15609357)"	"glnA1"	"GLUTAMINE_SYNTHETASE_GLNA1_(GLUTAMINE_SYNTHASE)(GS-I"	"ND"	"ND"
"VFG037682(gi:523531666)"	"pgaC"	"Glycosyltransferase,_probably_involved_in_cell_wall_biogenesis_"	"PNAG_(Polysaccharide_poly-N-acetylglucosamine)(CVF772)_"	"Acinetobacter_baumannii_BJAB0715"
"VFG035102(gi:26249221)"	"c3386"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_CFT073"
"VFG038545(gb|YP_008042747)"	"flpC"	"type_IVb_pilus_assembly_protein_"	"Flp_type_IV_pili_(VF0476)_"	"Aeromonas_hydrophila_ML09-119"
"VFG010385(gi:118467504)"	"mce8A"	"virulence_factor_Mce_family_protein_"	"Mce8_(CVF343)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG037388(gi:169795230)"	"bauE"	"ferric_acinetobactin_transport_system_ATP-binding_protein_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_AYE"
"VFG011676(gi:121613113)"	"CJJ81176_1418"	"putative_methyltransferase_"	"Capsule_biosynthesis_and_transport_(CVF393)_"	"Campylobacter_jejuni_subsp._jejuni_81-176"
"VFG006004(gi:116517147)"	"cps2P"	"UDP-galactopyranose_mutase_"	"Capsule_(CVF186)_"	"Streptococcus_pneumoniae_D39"
"VFG042291(gi:46398282)"	"ascK"	"AscK_"	"T3SS_(SS032)_"	"Aeromonas_hydrophila_str._AH3"
"VFG048494"	"KPHS_14400"	"ATP-dependent_serine_activating_enzyme_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG011429(gb|NP_540028)"	"acpXL"	"acyl_carrier_protein_"	"LPS_(CVF383)_"	"Brucella_melitensis_bv._1_str._16M"
"VFG022433(gi:333990851)"	"ppsE"	"phenolpthiocerol_synthesis_type-I_polyketide_synthase_PpsE_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG007814(gi:507422959)"	"proC"	"pyrroline-5-carboxylate_reductase_"	"Proline_synthesis_(CVF307)_"	"Mycobacterium_abscessus_subsp._bolletii_50594"
"VFG035238(gi:110642969)"	"ECP_2814"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_536"
"VFG000036(gb|NP_878993)"	"bplC"	"lipopolysaccharide_biosynthesis_protein_"	"LPS_(VF0033)_"	"Bordetella_pertussis_Tohama_I"
"VFG048928"	"KPN_02506"	"glycosyltransferase_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG033835(gi:387610387)"	"pic"	"serine_protease_EatA_"	"Pic_(CVF449)_"	"Escherichia_coli_O78:H11:K80_str._H10407"
"VFG037885(gi:523521476)"	"BJAB07104_00089"	"Periplasmic_protein_involved_in_polysaccharide_export_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_BJAB07104"
"VFG038855(gb|YP_001140276)"	"lfiM"	"lateral_flagellar_motor_switch_protein,_LfiM_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG004580(gi:57867366)"	"sdrH"	"sdrH_protein_"	"Ser-Asp_rich_fibrinogen-binding_proteins_(CVF102)_"	"Staphylococcus_epidermidis_RP62A"
"VFG002680(gi:16122051)"	"flgB"	"flagellar_basal_body_rod_protein_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_pestis_CO92"
"VFG000902(gb|NP_755494)"	"sat"	"Aecreted_auto_transpoter_toxin_"	"Sat_(VF0231)_"	"Escherichia_coli_CFT073"
"VFG000140(gb|NP_253696)"	"waaP"	"UDP-glucose:(heptosyl"	"ND"	"ND"
"VFG036048(gi:209398688)"	"hlyE/clyA"	"hemolysin_E_"	"Hemolysin/cytolysin_A_(CVF750)_"	"Escherichia_coli_O157:H7_str._EC4115"
"VFG038611(gi:507519899)"	"mshI1"	"hypothetical_protein_"	"MSHA_type_IV_pili_(VF0477)_"	"Aeromonas_hydrophila_ML09-119"
"VFG042553(gb|YP_002295986)"	"faeE"	"fimbrial_chaperone_FaeE_"	"K88_pili/F4_fimbriae_(AI040)_"	"Escherichia_coli_SE11"
"VFG042885(gi:16763014)"	"pilO"	"pilus_assembly_protein_"	"type_IV_pili_(AI115)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18"
"VFG043118(gi:15802384)"	"fliQ"	"flagellar_biosynthesis_protein_FliQ_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
